Description,Class
Drainage System Maintenance,Other
Water Purity Analysis,Other
Winter Heating Usage -,Heating
General Waste Collection -,Waste Disposal
Municipal Water Charge -,Water
Incinerator Maintenance Fee,Other
Employee Salaries - Month End,Other
Power Consumption -for Monthey Facility,Electricity
Industrial Waste Pickup -for Year-End,Waste Disposal
Electricity Supply -in Distribution Center,Electricity
Medical Waste Collection -,Waste Disposal
Solar Panel Installation Cost,Other
Water Supply -in Global HQ,Water
Municipal Water Charge -for Asia Pacific,Water
Non-Hazardous Waste Disposal -,Waste Disposal
Industrial Waste Pickup -in Distribution Center,Waste Disposal
Natural Gas Supply -for Year-End,Heating
Emergency Generator Fuel,Other
Power Consumption -- Manufacturing Plant,Electricity
Raw Water Intake -,Water
Energy Supply Charge -for Monthey Facility,Electricity
Natural Gas Supply -in Year-End,Heating
Water Consumption -,Water
Electricity Meter Reading -- Monthey Facility,Electricity
Monthly Water Usage -,Water
Gas Utility Bill -- Year-End,Heating
Steam Generation Gas -in European Operations,Heating
Water Consumption -in Year-End,Water
Gas Utility Bill -- Basel Site,Heating
Monthly Power Usage -in Year-End,Electricity
Recycling Services -for South America,Waste Disposal
Natural Gas Supply -- European Operations,Heating
Bulk Water Purchase -- Manufacturing Plant,Water
Electrical System Maintenance Contract,Other
Grid Power Purchase -- European Operations,Electricity
Winter Heating Usage -,Heating
Waste Sorting Equipment Lease,Other
Electricity Supply -- Year-End,Electricity
Electric Utility Bill -for Monthey Facility,Electricity
Bulk Water Purchase -in Global HQ,Water
Hazardous Waste Disposal -- Manufacturing Plant,Waste Disposal
Steam Generation Gas -- Distribution Center,Heating
Heating Element Replacement,Other
Propane Supply -for Q3 Period,Heating
Potable Water Supply -in Global HQ,Water
Natural Gas Supply -for Year-End,Heating
Non-Hazardous Waste Disposal -- Distribution Center,Waste Disposal
Recycling Program Audit,Other
KWh Consumption -in South America,Electricity
Employee Salaries - Month End,Other
Irrigation System Installation,Other
Electrical System Maintenance Contract,Other
Winter Heating Usage -in Monthey Facility,Heating
Winter Heating Usage -in North America,Heating
Recycling Services -for North America,Waste Disposal
Heating Expense -,Heating
Heating Expense -in Monthey Facility,Heating
Bulk Water Purchase -,Water
Raw Water Intake -,Water
Industrial Waste Pickup -- Monthey Facility,Waste Disposal
Power Consumption -for Asia Pacific,Electricity
Hazardous Waste Disposal -in Basel Site,Waste Disposal
Fuel Oil Delivery -in Basel Site,Heating
Marketing Campaign - Digital Ads,Other
Landfill Site Permit Renewal,Other
Natural Gas Line Inspection Fee,Other
Heat Exchanger Cleaning,Other
Bulk Water Purchase -in Distribution Center,Water
Industrial Waste Pickup -- Q3 Period,Waste Disposal
Monthly Water Usage -- Basel Site,Water
Steam Generation Gas -for Q3 Period,Heating
Recycling Services -- Basel Site,Waste Disposal
Chemical Waste Disposal -for Distribution Center,Waste Disposal
Heating Fuel Purchase -- Year-End,Heating
Energy Supply Charge -in North America,Electricity
Water Quality Testing Fee,Other
Monthly Power Usage -,Electricity
Hazardous Waste Disposal -in Global HQ,Waste Disposal
Potable Water Supply -in Monthey Facility,Water
Natural Gas Supply -in European Operations,Heating
Grid Power Purchase -- Manufacturing Plant,Electricity
Energy Supply Charge -- European Operations,Electricity
KWh Consumption -,Electricity
KWh Consumption -,Electricity
Medical Waste Collection -- Basel Site,Waste Disposal
Winter Heating Usage -in Year-End,Heating
Propane Supply -for R&D Center,Heating
KWh Consumption -for Manufacturing Plant,Electricity
Monthly Power Usage -,Electricity
Monthly Power Usage -for Basel Site,Electricity
Monthly Water Usage -in R&D Center,Water
Natural Gas Supply -- Q3 Period,Heating
Steam Generation Gas -,Heating
Recycling Program Audit,Other
Heating Fuel Purchase -- Basel Site,Heating
Chemical Waste Disposal -,Waste Disposal
Raw Water Intake -for European Operations,Water
Heating Expense -in Basel Site,Heating
Energy Supply Charge -for Asia Pacific,Electricity
Chemical Waste Disposal -,Waste Disposal
Landfill Site Permit Renewal,Other
Fuel Oil Delivery -for Q3 Period,Heating
Electric Utility Bill -,Electricity
Fuel Oil Delivery -for Q3 Period,Heating
Industrial Waste Pickup -in Distribution Center,Waste Disposal
Solid Waste Management Fee -in North America,Waste Disposal
Monthly Water Usage -for Q3 Period,Water
Monthly Water Usage -for Distribution Center,Water
Power Consumption -- Global HQ,Electricity
Monthly Power Usage -,Electricity
Propane Supply -in Distribution Center,Heating
Industrial Waste Pickup -for Manufacturing Plant,Waste Disposal
Landfill Site Permit Renewal,Other
Winter Heating Usage -in R&D Center,Heating
Municipal Water Charge -in R&D Center,Water
Winter Heating Usage -in Global HQ,Heating
Municipal Water Charge -for Manufacturing Plant,Water
Travel & Entertainment Expense,Other
Winter Heating Usage -- R&D Center,Heating
Grid Power Purchase -- Q3 Period,Electricity
Power Consumption -,Electricity
Electricity Supply -- South America,Electricity
Energy Supply Charge -- Global HQ,Electricity
Gas Utility Bill -for Distribution Center,Heating
Heating Expense -in Monthey Facility,Heating
Electricity Supply -,Electricity
Cooling Tower Water Treatment Chemicals,Other
Solid Waste Management Fee -for South America,Waste Disposal
Medical Waste Collection -- Manufacturing Plant,Waste Disposal
Hazardous Waste Disposal -,Waste Disposal
Heating Expense -in Q3 Period,Heating
Bulk Water Purchase -- Asia Pacific,Water
Electricity Meter Reading -for Basel Site,Electricity
Natural Gas Supply -- Monthey Facility,Heating
Municipal Water Charge -,Water
Water Purity Analysis,Other
Bulk Water Purchase -for Distribution Center,Water
Water Consumption -in Monthey Facility,Water
Winter Heating Usage -,Heating
Water Consumption -in European Operations,Water
Drainage System Maintenance,Other
Landfill Site Permit Renewal,Other
Gas Utility Bill -in Global HQ,Heating
Marketing Campaign - Digital Ads,Other
Medical Waste Collection -,Waste Disposal
Grid Power Purchase -,Electricity
KWh Consumption -- Distribution Center,Electricity
Potable Water Supply -,Water
Industrial Waste Pickup -,Waste Disposal
Steam Generation Gas -,Heating
Water Utility Bill -,Water
Emergency Generator Fuel,Other
Water Consumption -in Basel Site,Water
Grid Power Purchase -,Electricity
Non-Hazardous Waste Disposal -,Waste Disposal
Electric Utility Bill -- North America,Electricity
Raw Water Intake -- Global HQ,Water
Hazardous Waste Disposal -,Waste Disposal
Monthly Water Usage -- South America,Water
KWh Consumption -in Basel Site,Electricity
Non-Hazardous Waste Disposal -in North America,Waste Disposal
Electricity Meter Reading -,Electricity
Water Consumption -in Monthey Facility,Water
Energy Supply Charge -in European Operations,Electricity
Winter Heating Usage -,Heating
Monthly Power Usage -,Electricity
Fuel Oil Delivery -for European Operations,Heating
Monthly Power Usage -- European Operations,Electricity
Heating Fuel Purchase -- Basel Site,Heating
Landfill Site Permit Renewal,Other
Monthly Water Usage -in Distribution Center,Water
Potable Water Supply -in Asia Pacific,Water
Municipal Water Charge -- North America,Water
General Waste Collection -in Asia Pacific,Waste Disposal
Industrial Waste Pickup -- Distribution Center,Waste Disposal
Monthly Water Usage -- Global HQ,Water
Non-Hazardous Waste Disposal -for Basel Site,Waste Disposal
Winter Heating Usage -,Heating
Gas Utility Bill -,Heating
Hazardous Waste Disposal -,Waste Disposal
Bulk Water Purchase -,Water
Incinerator Maintenance Fee,Other
Incinerator Maintenance Fee,Other
Chemical Waste Disposal -,Waste Disposal
Fuel Oil Delivery -,Heating
Grid Power Purchase -- Q3 Period,Electricity
Monthly Water Usage -- Asia Pacific,Water
Fuel Oil Delivery -in North America,Heating
Non-Hazardous Waste Disposal -in European Operations,Waste Disposal
Fuel Oil Delivery -in South America,Heating
Electricity Supply -for Asia Pacific,Electricity
Steam Generation Gas -- North America,Heating
Grid Infrastructure Consulting Fee,Other
Grid Power Purchase -in Distribution Center,Electricity
Transformer Upgrade Project,Other
Steam Generation Gas -,Heating
Electricity Supply -for South America,Electricity
Natural Gas Supply -,Heating
General Waste Collection -,Waste Disposal
Raw Water Intake -for European Operations,Water
Natural Gas Supply -for Manufacturing Plant,Heating
Solid Waste Management Fee -for Distribution Center,Waste Disposal
Monthly Power Usage -in Manufacturing Plant,Electricity
Grid Power Purchase -,Electricity
Solid Waste Management Fee -- North America,Waste Disposal
Electricity Meter Reading -for Asia Pacific,Electricity
Energy Supply Charge -- Year-End,Electricity
Solid Waste Management Fee -- Q3 Period,Waste Disposal
Winter Heating Usage -- Manufacturing Plant,Heating
IT System Upgrade - Software Licenses,Other
Winter Heating Usage -in R&D Center,Heating
Potable Water Supply -,Water
Heat Exchanger Cleaning,Other
Propane Supply -- Global HQ,Heating
Water Consumption -in Asia Pacific,Water
Winter Heating Usage -,Heating
General Waste Collection -- South America,Waste Disposal
Propane Supply -,Heating
Water Utility Bill -,Water
Non-Hazardous Waste Disposal -,Waste Disposal
Gas Utility Bill -- European Operations,Heating
Power Consumption -for R&D Center,Electricity
Monthly Power Usage -- Basel Site,Electricity
Hazardous Waste Disposal -in Year-End,Waste Disposal
Water Utility Bill -,Water
KWh Consumption -- Year-End,Electricity
Boiler System Repair,Other
Solid Waste Management Fee -in Distribution Center,Waste Disposal
Medical Waste Collection -in Global HQ,Waste Disposal
Solid Waste Management Fee -- European Operations,Waste Disposal
Steam Generation Gas -,Heating
Recycling Services -for Q3 Period,Waste Disposal
Electricity Meter Reading -- North America,Electricity
Electricity Meter Reading -for North America,Electricity
Chemical Waste Disposal -,Waste Disposal
Winter Heating Usage -- South America,Heating
Industrial Waste Pickup -,Waste Disposal
Heating Element Replacement,Other
Electricity Meter Reading -,Electricity
Chemical Waste Disposal -for Q3 Period,Waste Disposal
Chemical Waste Disposal -,Waste Disposal
Heating Expense -for Q3 Period,Heating
Winter Heating Usage -for Asia Pacific,Heating
Electric Utility Bill -for Q3 Period,Electricity
Bulk Water Purchase -- Monthey Facility,Water
Chemical Waste Disposal -- Year-End,Waste Disposal
Power Consumption -for Asia Pacific,Electricity
Insulation Material Purchase,Other
Hazardous Waste Disposal -,Waste Disposal
Plumbing Fixture Repair,Other
Medical Waste Collection -for South America,Waste Disposal
Irrigation System Installation,Other
Potable Water Supply -,Water
General Waste Collection -- R&D Center,Waste Disposal
IT System Upgrade - Software Licenses,Other
Natural Gas Line Inspection Fee,Other
Power Consumption -for South America,Electricity
Winter Heating Usage -- Manufacturing Plant,Heating
Non-Hazardous Waste Disposal -for Year-End,Waste Disposal
Medical Waste Collection -,Waste Disposal
Natural Gas Supply -- Q3 Period,Heating
HVAC System Service Contract,Other
Power Quality Audit Service,Other
Boiler System Repair,Other
Water Consumption -in R&D Center,Water
Waste Sorting Equipment Lease,Other
Heating Expense -,Heating
Raw Water Intake -for Q3 Period,Water
Monthly Power Usage -,Electricity
General Waste Collection -in Basel Site,Waste Disposal
Grid Power Purchase -for Global HQ,Electricity
Bulk Water Purchase -for European Operations,Water
Gas Utility Bill -in Asia Pacific,Heating
Heating Expense -in South America,Heating
Potable Water Supply -for South America,Water
Heating Fuel Purchase -in Year-End,Heating
Recycling Program Audit,Other
Propane Supply -- Q3 Period,Heating
Irrigation System Installation,Other
Energy Supply Charge -in Year-End,Electricity
Chemical Waste Disposal -for Asia Pacific,Waste Disposal
Electric Utility Bill -in European Operations,Electricity
Electricity Supply -in Asia Pacific,Electricity
Water Supply -in Manufacturing Plant,Water
Grid Power Purchase -in Monthey Facility,Electricity
Chemical Waste Disposal -,Waste Disposal
Energy Supply Charge -,Electricity
Hazardous Waste Disposal -,Waste Disposal
Water Supply -for Distribution Center,Water
Heating Expense -,Heating
Natural Gas Supply -in South America,Heating
Heating Expense -for European Operations,Heating
Water Supply -in Monthey Facility,Water
Solid Waste Management Fee -,Waste Disposal
Chemical Waste Disposal -,Waste Disposal
Steam Generation Gas -,Heating
Municipal Water Charge -- Asia Pacific,Water
Heating Element Replacement,Other
Gas Utility Bill -- Manufacturing Plant,Heating
Monthly Power Usage -,Electricity
Natural Gas Line Inspection Fee,Other
Fuel Oil Delivery -- R&D Center,Heating
Heating Fuel Purchase -- Basel Site,Heating
Monthly Power Usage -,Electricity
Electric Utility Bill -in Monthey Facility,Electricity
Electric Utility Bill -- North America,Electricity
Waste Management Consulting Service,Other
Power Consumption -- Manufacturing Plant,Electricity
Hazardous Waste Disposal -,Waste Disposal
Winter Heating Usage -for R&D Center,Heating
Power Consumption -- Basel Site,Electricity
Propane Supply -in Asia Pacific,Heating
Bulk Water Purchase -- South America,Water
Electricity Supply -,Electricity
Natural Gas Supply -- European Operations,Heating
Steam Generation Gas -for Global HQ,Heating
Non-Hazardous Waste Disposal -- North America,Waste Disposal
Heating Fuel Purchase -in North America,Heating
Grid Power Purchase -in North America,Electricity
General Waste Collection -,Waste Disposal
Solid Waste Management Fee -in Year-End,Waste Disposal
Raw Water Intake -- Distribution Center,Water
Water Supply -,Water
Energy Supply Charge -- Year-End,Electricity
Heating Expense -in Q3 Period,Heating
Water Quality Testing Fee,Other
Electricity Supply -- Manufacturing Plant,Electricity
Gas Utility Bill -- European Operations,Heating
Gas Utility Bill -for Distribution Center,Heating
Recycling Services -for Global HQ,Waste Disposal
Grid Infrastructure Consulting Fee,Other
Natural Gas Supply -- South America,Heating
KWh Consumption -in Q3 Period,Electricity
Medical Waste Collection -for North America,Waste Disposal
Herbicide Product Sales - Europe Region,Other
KWh Consumption -- Asia Pacific,Electricity
Insurance Premium - General Liability,Other
Water Consumption -for North America,Water
Electric Utility Bill -in Distribution Center,Electricity
Grid Infrastructure Consulting Fee,Other
Water Utility Bill -- Basel Site,Water
Non-Hazardous Waste Disposal -,Waste Disposal
Grid Power Purchase -for South America,Electricity
Plumbing Fixture Repair,Other
Electricity Supply -- European Operations,Electricity
Natural Gas Supply -- European Operations,Heating
Power Consumption -,Electricity
Gas Utility Bill -- Global HQ,Heating
Non-Hazardous Waste Disposal -,Waste Disposal
Natural Gas Supply -- Year-End,Heating
Energy Supply Charge -,Electricity
Electricity Meter Reading -in North America,Electricity
Heating Fuel Purchase -for Distribution Center,Heating
Heating Expense -for Year-End,Heating
Fuel Oil Delivery -for R&D Center,Heating
Chemical Waste Disposal -for South America,Waste Disposal
Drainage System Maintenance,Other
Power Consumption -- North America,Electricity
Solid Waste Management Fee -,Waste Disposal
Municipal Water Charge -for Year-End,Water
Natural Gas Supply -- Year-End,Heating
Electricity Supply -in Basel Site,Electricity
Monthly Water Usage -for Global HQ,Water
Winter Heating Usage -in Basel Site,Heating
Winter Heating Usage -for R&D Center,Heating
Drainage System Maintenance,Other
Grid Power Purchase -in Asia Pacific,Electricity
Solid Waste Management Fee -- Distribution Center,Waste Disposal
Electricity Meter Reading -,Electricity
Water Consumption -,Water
Municipal Water Charge -,Water
Water Consumption -- North America,Water
Recycling Services -,Waste Disposal
Medical Waste Collection -,Waste Disposal
Fuel Oil Delivery -,Heating
Hazardous Waste Disposal -,Waste Disposal
Plumbing Fixture Repair,Other
Travel & Entertainment Expense,Other
Water Supply -,Water
Industrial Waste Pickup -- Asia Pacific,Waste Disposal
Municipal Water Charge -for North America,Water
Heating Element Replacement,Other
KWh Consumption -for Year-End,Electricity
Water Consumption -in Monthey Facility,Water
Fuel Oil Delivery -,Heating
Drainage System Maintenance,Other
Monthly Water Usage -- Year-End,Water
Potable Water Supply -,Water
Heating Expense -- R&D Center,Heating
Fuel Oil Delivery -- Global HQ,Heating
Non-Hazardous Waste Disposal -- North America,Waste Disposal
Heating Fuel Purchase -in North America,Heating
Natural Gas Supply -in R&D Center,Heating
Marketing Campaign - Digital Ads,Other
Heating Element Replacement,Other
Power Consumption -,Electricity
Natural Gas Supply -in Year-End,Heating
Water Supply -,Water
Monthly Water Usage -,Water
IT System Upgrade - Software Licenses,Other
Heating Fuel Purchase -in Q3 Period,Heating
Raw Water Intake -,Water
Heating Expense -in Year-End,Heating
Chemical Waste Disposal -,Waste Disposal
Natural Gas Supply -in European Operations,Heating
Transformer Upgrade Project,Other
Water Utility Bill -in Manufacturing Plant,Water
Temperature Control System Upgrade,Other
Electricity Supply -- Asia Pacific,Electricity
Solid Waste Management Fee -in Monthey Facility,Waste Disposal
Industrial Waste Pickup -for South America,Waste Disposal
Water Supply -- Distribution Center,Water
Solid Waste Management Fee -- Asia Pacific,Waste Disposal
Electric Utility Bill -- South America,Electricity
Natural Gas Supply -,Heating
Propane Supply -,Heating
Solid Waste Management Fee -- Asia Pacific,Waste Disposal
Electricity Meter Reading -,Electricity
Recycling Services -,Waste Disposal
Monthly Power Usage -- Monthey Facility,Electricity
Natural Gas Supply -for Distribution Center,Heating
Monthly Power Usage -in South America,Electricity
Water Consumption -- Monthey Facility,Water
Recycling Services -,Waste Disposal
Temperature Control System Upgrade,Other
Steam Generation Gas -- Global HQ,Heating
Heating Expense -- R&D Center,Heating
General Waste Collection -- South America,Waste Disposal
Electric Utility Bill -for North America,Electricity
Industrial Waste Pickup -for South America,Waste Disposal
Electric Utility Bill -- Asia Pacific,Electricity
Electricity Supply -in Asia Pacific,Electricity
Fuel Oil Delivery -- Asia Pacific,Heating
Environmental Impact Assessment,Other
Recycling Services -in Global HQ,Waste Disposal
Electricity Supply -for R&D Center,Electricity
Winter Heating Usage -in Basel Site,Heating
Solid Waste Management Fee -- Q3 Period,Waste Disposal
Fuel Oil Delivery -for Global HQ,Heating
Water Consumption -for Q3 Period,Water
Water System Cleaning & Descaling,Other
Recycling Program Audit,Other
Gas Utility Bill -,Heating
IT System Upgrade - Software Licenses,Other
Solid Waste Management Fee -for South America,Waste Disposal
Bulk Water Purchase -- Basel Site,Water
Water Supply -in R&D Center,Water
Propane Supply -- European Operations,Heating
Emergency Generator Fuel,Other
Natural Gas Supply -for Q3 Period,Heating
Recycling Services -,Waste Disposal
Environmental Impact Assessment,Other
Waste Sorting Equipment Lease,Other
Winter Heating Usage -,Heating
Monthly Power Usage -,Electricity
Heating Fuel Purchase -,Heating
Propane Supply -in Manufacturing Plant,Heating
Heating Fuel Purchase -- Year-End,Heating
Medical Waste Collection -- European Operations,Waste Disposal
General Waste Collection -in Asia Pacific,Waste Disposal
Wastewater Discharge Treatment,Other
Heating Fuel Purchase -,Heating
Utility Meter Calibration,Other
Water Consumption -in North America,Water
Industrial Waste Pickup -,Waste Disposal
Electricity Meter Reading -in Manufacturing Plant,Electricity
Industrial Waste Pickup -in R&D Center,Waste Disposal
Municipal Water Charge -in South America,Water
Temperature Control System Upgrade,Other
General Waste Collection -in Asia Pacific,Waste Disposal
Industrial Waste Pickup -for Year-End,Waste Disposal
Raw Water Intake -- Asia Pacific,Water
Steam Generation Gas -,Heating
Grid Power Purchase -,Electricity
Non-Hazardous Waste Disposal -in Global HQ,Waste Disposal
Monthly Power Usage -in Distribution Center,Electricity
Temperature Control System Upgrade,Other
Heating Fuel Purchase -,Heating
Boiler System Repair,Other
Insulation Material Purchase,Other
Water Supply -for Year-End,Water
Medical Waste Collection -in Basel Site,Waste Disposal
Electricity Meter Reading -- North America,Electricity
Winter Heating Usage -in Asia Pacific,Heating
HVAC System Service Contract,Other
KWh Consumption -in Global HQ,Electricity
Electric Utility Bill -- European Operations,Electricity
Heating Expense -- South America,Heating
Electricity Supply -,Electricity
Water Supply -in Q3 Period,Water
Transformer Upgrade Project,Other
Water Consumption -,Water
Power Consumption -in Q3 Period,Electricity
Heating Element Replacement,Other
Water Supply -,Water
Fuel Oil Delivery -,Heating
Monthly Power Usage -,Electricity
Industrial Waste Pickup -- Distribution Center,Waste Disposal
Electricity Meter Reading -- Global HQ,Electricity
Irrigation System Installation,Other
Seeds Product Sales - Latin America,Other
Raw Water Intake -for R&D Center,Water
Solid Waste Management Fee -,Waste Disposal
Gas Utility Bill -in Basel Site,Heating
Solid Waste Management Fee -for Q3 Period,Waste Disposal
Monthly Power Usage -for Asia Pacific,Electricity
Electricity Meter Reading -,Electricity
Heating Expense -in Distribution Center,Heating
Bulk Water Purchase -for Year-End,Water
General Waste Collection -,Waste Disposal
Municipal Water Charge -,Water
Electricity Meter Reading -for North America,Electricity
Recycling Services -- Q3 Period,Waste Disposal
General Waste Collection -in Global HQ,Waste Disposal
Insulation Material Purchase,Other
Non-Hazardous Waste Disposal -- Global HQ,Waste Disposal
Environmental Impact Assessment,Other
KWh Consumption -- Manufacturing Plant,Electricity
Grid Power Purchase -for Year-End,Electricity
Employee Salaries - Month End,Other
Heating Expense -- North America,Heating
Bulk Water Purchase -,Water
Natural Gas Supply -,Heating
Recycling Program Audit,Other
Gas Utility Bill -in R&D Center,Heating
Solid Waste Management Fee -,Waste Disposal
Propane Supply -- North America,Heating
Propane Supply -in North America,Heating
Fuel Oil Delivery -in Monthey Facility,Heating
Monthly Power Usage -- European Operations,Electricity
Heating Expense -in Monthey Facility,Heating
Gas Utility Bill -,Heating
Propane Supply -,Heating
Potable Water Supply -- South America,Water
Recycling Services -for Year-End,Waste Disposal
Heating Expense -for Basel Site,Heating
Water Utility Bill -in R&D Center,Water
Hazardous Waste Disposal -- North America,Waste Disposal
Grid Power Purchase -in R&D Center,Electricity
Heating Fuel Purchase -in South America,Heating
Travel & Entertainment Expense,Other
Heating Element Replacement,Other
Energy Supply Charge -- Monthey Facility,Electricity
Steam Generation Gas -,Heating
Water Supply -in Manufacturing Plant,Water
General Waste Collection -in Distribution Center,Waste Disposal
Solar Panel Installation Cost,Other
General Waste Collection -,Waste Disposal
Water Utility Bill -,Water
Potable Water Supply -in Basel Site,Water
Water Supply -,Water
Water Utility Bill -- Asia Pacific,Water
Electricity Meter Reading -- Monthey Facility,Electricity
Solid Waste Management Fee -- European Operations,Waste Disposal
Propane Supply -- Q3 Period,Heating
Water Utility Bill -for North America,Water
Industrial Waste Pickup -- Basel Site,Waste Disposal
Energy Supply Charge -for Q3 Period,Electricity
Propane Supply -in Basel Site,Heating
Monthly Power Usage -for Q3 Period,Electricity
Waste Management Consulting Service,Other
Wastewater Discharge Treatment,Other
Marketing Campaign - Digital Ads,Other
Grid Power Purchase -for Global HQ,Electricity
Municipal Water Charge -in European Operations,Water
Water Consumption -- North America,Water
Marketing Campaign - Digital Ads,Other
Non-Hazardous Waste Disposal -for Year-End,Waste Disposal
Natural Gas Supply -,Heating
Transformer Upgrade Project,Other
Hazardous Waste Disposal -in Q3 Period,Waste Disposal
Fuel Oil Delivery -,Heating
Environmental Impact Assessment,Other
Potable Water Supply -- Monthey Facility,Water
Power Consumption -in Q3 Period,Electricity
Water Consumption -,Water
Medical Waste Collection -,Waste Disposal
Medical Waste Collection -- Global HQ,Waste Disposal
Medical Waste Collection -in Manufacturing Plant,Waste Disposal
Electricity Meter Reading -,Electricity
Grid Power Purchase -in Manufacturing Plant,Electricity
Energy Efficiency Study,Other
KWh Consumption -- Q3 Period,Electricity
Energy Supply Charge -for Q3 Period,Electricity
Monthly Water Usage -for South America,Water
Power Consumption -- European Operations,Electricity
Heating Fuel Purchase -,Heating
Bulk Water Purchase -in North America,Water
